sample_article	Country	year	article_number	New Type	Content	Female 	 Male	Female 	 Male	female_diff	Male_diff	FEMALE_ERROR	male_error	female_score	Male_score
484	Germany	2002	59	Corporate	"FRANKFURT, Dec 19 (Reuters) - Germany's sole pay-television channel Premiere, part of Leo Kirch's collapsed media empire, has closed movie deals with Hollywood studios Paramount and Columbia to secure years of programming, sources close to the deal said on Thursday. 

Following the insolvency of its parent KirchPayTV, Premiere had to settle disputes over payments and renegotiate expensive movie contracts that had been instrumental in sending Kirch into insolvency earlier this year. 
 
TD 
 The five-year deal with Paramount, a unit of media giant Viacom (VIA.N) (VIAb.N), and the package agreed with Sony's (6758.T) Columbia, come after similar deals with all major studios except Disney (DIS.N), which could follow over the next months, the sources said. 

The movies range from blockbusters including ""Vanilla Sky"" to cult classics such as Guy Ritchie's ""Snatch"", the sources said. Premiere is currently being sold as part of KirchPayTV's insolvency procedure. Private equity firm Permira tops the list of bidders and a deal with Permira could be announced before Christmas, the sources said. 
 
"	1	4	1	3	0	2			1	3.5
252	Germany	1994	62	Political	"FRANKFURT, Nov 17 (Reuter) - Pete Sampras showed why he is rated the best player in the world when he survived a nail-biting clash with Stefan Edberg at the ATP Tour world tennis championship on Thursday. 

Sampras, who lost his opening match to Boris Becker on Wednesday, seemed to be heading out of the tournament after losing the first set 6-4 against former Wimbledon champion Edberg. 
 
TD 
 But the American produced his best tennis in the crucial final set and clinched the round-robin clash in the tie-break 4-6 6-3 7-6 to keep alive his chances of reaching Saturday's semifinals. 

The top two from each of the two groups of four players qualify for the semifinals. Sampras's white group is still wide open. It will not be decided until Friday when Becker meets Edberg and Sampras plays Ivanisevic. 

Sampras and Edberg each have one win and one defeat while Becker has two wins to his credit. Ivanisevic has lost both his opening matches. 

But despite his defeat, Edberg, with the superb form he showed on Thursday, must have a good chance of beating Becker. 

The Swede dropped to ninth in the rankings earlier this month, his lowest standing since October 1985, but has moved up one place since then. 

Edberg served brilliantly at times and produced some of the deadly volleys and passing shots which put him on top of the world in 1990 and 1991. 

Sampras started well, breaking Edberg's serve in the second game. But Edberg hit a brilliant cross-court forehand to break back and narrow the American's lead to 3-2. 

The Swede hit another forehand passing shot to break again in the seventh game and take a 4-3 lead before clinching the set 6-4 with an ace after 28 minutes. 

But Sampras seemed to find his touch in the middle of the second set. He struck a superb passing shot on the run to break Edberg and lead 4-2 and never looked back in the set. 

When the third set went to a tiebreak Sampras was on top of his game, hitting an ace to take a 4-2 lead and clinching the decider 7-3. 

""I told myself not to panic (after the first set),"" Sampras said. ""When I play him it is always decided on a couple of points. I got them."" 

""I was a bit overwhelmed after Boris beat me. The confidence was not there and I had to find it. Fortunately I found it in the middle of the second set."" 

Edberg added: ""Once he got ahead, he played too well. I did not have a chance in the tiebreak. 

""But I still have a chance (to go further). If I play like this, there is no reason why I do not have a chance tomorrow although it will be a difficult match."" 

(c) Reuters Limited 1994 
 
"	1	5	1	5	0	0			1	5
283	Germany	2002	70	Corporate	"FRANKFURT, Dec 17 (Reuters) - German coal firm RAG said on Tuesday its bid to take control of chemicals firm Degussa AG (DGXG.DE) from E.ON AG (EONG.DE) would fail unless the utility's acquisition of Ruhrgas was cleared by the end of January. 

Earlier on Tuesday, a Duesseldorf court upheld an injunction blocking E.ON's 10 billion euro takeover of gas importer Ruhrgas, throwing the future of Degussa into doubt and sending shares in the chemicals firm down over 15 percent. 
 
TD 
 RAG said in a statement the Duesseldorf court had a chance during the main hearing in the case, likely to begin in January, to reject the complaints against the government's clearance of the deal and lift the injunction. 

""In order for RAG to be able to complete its takeover bid for Degussa, such a decision must be taken by the court... in a timely enough way so that the sale of RAG's Ruhrgas stake to E.ON can be completed by January 31, 2003."" 

 
"	1	1	1	1	0	0			1	1
144	Germany	2005	76	Political	"BERLIN, Dec 19 (Reuters) - A 43-year-old German woman who was held hostage in Iraq for more than three weeks will not immediately return home to Germany, the foreign ministry said on Monday. 
 
TD 
 ""She wants to spend a few days with her daughter protected from the public and so will probably not immediately return to Germany,"" a foreign ministry spokesman told a news conference. 

""We assume however that she will leave Iraq in the near future,"" he said. 

Archaeologist Susanne Osthoff, a convert to Islam who speaks fluent Arabic, disappeared on Nov. 25. She had spent more than a decade working on excavations in Iraq. 

The gunmen who kidnapped her and her driver threatened to kill them both if Germany did not stop supporting the Iraqi government. 

Osthoff's young daughter lives with friends in Bavaria. The government did not say where the mother and daughter would meet. 

None of her relatives in Bavaria appeared to have talked to her. Osthoff's brother, Robert, told Reuters from his home near Munich that he understood she was at Baghdad airport heading for Germany, but had no official confirmation. 

Her sister had also not spoken with her. ""I have had no contact with her,"" Anja Osthoff told the Koelner Stadt-Anzeiger newspaper. 

""I'm just happy that she survived,"" Anja said. ""One has to respect the fact that she is psychologically in a very different state. She needs to be left alone."" 

There was confusion over the fate of Osthoff's driver. The foreign ministry said they had received assurances from the kidnappers that he would be freed, but he has yet to contact the German embassy. 

The German government has offered scant details about Osthoff after the foreign minister's sudden announcement on Sunday evening that she was in the safe custody of the German embassy in Baghdad. 

On Monday evening several German television stations reported from Baghdad that Osthoff had left the embassy but was still under the protection of embassy staff. 

German politicians have expressed relief that Osthoff was now free, but there is speculation in German media that a ransom was paid to release her. 

The foreign ministry said on Monday that the government and Berlin's embassy in Iraq had been involved in Osthoff's release, but declined to give details. 

Chancellor Angela Merkel, who only took office a month ago, had said the German government would not be ""blackmailed"" by terrorists, but did not give a clear answer when asked if Germany would be prepared to pay a ransom. 

Security experts say Germany has paid ransoms for hostages in the past and would probably have done so for Osthoff. 

This view was seconded by a German diplomat in Berlin, who told Reuters several weeks ago that Osthoff's kidnappers likely wanted a ransom and that the government would not hesitate to pay. 
 
"	5	3	5	3	0	0		1	5	3
416	Germany	2007	79	Political	"BERLIN, Dec 10 (Reuters) - Germany has granted early release to two men given life prison sentences for the 1992 assassination of a group of dissident Kurdish leaders despite protests from Israel, German officials said on Monday. 

The office of Germany's Chief Federal Prosecutor Monika Harms decided in October there was no legal reason to delay the release of Iranian Kazem Darabi and his Lebanese accomplice, Abbas Rhayel. 
 
TD 
 German government officials who spoke on condition of anonymity told Reuters both men had been released and were being flown out of the country. 

Israeli authorities have long believed Lebanon's militant Hezbollah movement could have information on missing Israeli pilot Ron Arad's fate and hoped Darabi could help in solving the case, Israeli and German media have reported. 

The government of Israel and the family of Arad, who went missing over Lebanon in 1986, had asked German Chancellor Merkel to delay the release of the two men. Germany's Foreign Ministry has denied any deal was made with Iran that led to the release of Darabi and Rhayel. 

Darabi and Rhayel were convicted in 1997 for killing the four Kurds after having spent five years in investigative custody before and during the trial. The court said at the time they would spend a quarter of a century in jail. 

Prosecutors in the long trial infuriated Tehran and strained bilateral relations by saying Iran's supreme religious leader Ayatollah Ali Khamenei had ordered the killings and President Akbar Hashemi Rafsanjani had approved them. 

The Islamic Republic has always denied responsibility for the killings. 

Earlier this year German media reported Tehran had conditioned the release of a German man imprisoned for over a year for fishing in Iranian waters on Darabi's release. Tehran released the German fisherman in March. (Reporting by Louis Charbonneau; Editing by Michael Winfrey) 
 
"	1	4	1	5	0	1			1	4.5
390	Germany	1997	84	Corporate	"FRANKFURT, Dec 10 (Reuters) - Lufthansa AG, following the lead of rival European airlines, said on Wednesday it has revamped its international first and business class services at a cost of more than 250 million marks. 

The German airline said the new service, available from mid-January, offers new seats with more legroom which will also double as a bed. The move will reduce first and business class capacity on international flights by 2.5 percent. 
 
TD 
 Fredrick Reid, president of Lufthansa's passenger airline unit, said anticipated higher demand for the new service will offset any revenue losses. 

""Passengers are flying longer distances and spending longer periods of time in airplanes,"" Reid told a news conference. ""They are looking for more quality."" 

Other European carriers, such as Air France and British Airways, have improved their first and business class cabins to attract high-paying business travellers. 

Lufthansa said passenger numbers on long-haul routes had grown strongly with overall passenger traffic to North America during the first nine months of 1997 up 22 percent compared with the same period in 1996. 

First and business class travel on Lufthansa was also expanding with passenger levels to Africa up 19.5 percent. Travel in first and business to South America was up by 16.1 percent and to North America by 13.4 percent. 

About 20 percent of Lufthansa passengers travel first or business class but they account for 40 percent of ticket revenues. 

The new seating will mostly be installed by summer 1998, the airline said. 

Lufthansa is set to unveil a new long-haul service for economy class passengers next winter. 

 
"	1	3	1	2	0	1			1	2.5
280	Germany	2005	98	Political	"BERLIN, Dec 14 (Reuters) - Germany said on Wednesday that Britain's lastest proposal has not hurt the chances of reaching a long-term budget for the European Union but the real negotiations will start at an EU summit on Thursday. 

""I would say it doesn't go in the wrong direction,"" German Chancellor Angela Merkel told a news conference after talks with German state premiers. 
 
TD 
 ""But whether we get an agreement or not has not become more or less likely. The real negotiations are still to come, but the outlook has not deteriorated through today's second British proposal,"" she said. 

Merkel said Germany, the EU's traditional paymaster, was interested in seeing a budget for 2007-13 but ""there can't be an agreement at any price"". 
 
"	4	1	4	1	0	0			4	1
68	India	2001	3	Corporate	"NEW DELHI, Dec 28 (Reuters) - Unit Trust of India (UTI), the country's largest mutual fund manager, has raised the ceiling on the number of units of its flagship scheme that it repurchases at a guaranteed price, the government said on Friday. 

A finance ministry statement said state-run UTI will repurchase up to 5,000 units of its Unit Scheme-64 or US-64, the country's largest mutual fund with assets of an estimated 110 billion rupees ($2.3 billion). 
 
TD 
 The move extends a scheme giving investors guaranteed returns which was introduced in the face of popular pressure and which has been partly funded by the government. 

The current repurchase cap is 3,000 units, and nearly half the scheme's 20 million investors own less than this amount. 

In July, UTI announced a guaranteed repurchase price for up to 3,000 units, starting at 10 rupees per unit in August, with a rise of 0.10 rupees every month until May 2003, when it will touch 12 rupees. The price for December is 10.40 rupees. 

It made this announcement in response to a national outcry that met a decision to freeze repurchase of units in US-64 after the equity-heavy scheme faced severe redemption pressure between April and June following a a stock market slide. 

Its then chairman was forced to resign under pressure from angry investors and demands in parliament from the opposition, which accused the government of mismanagement. 

Before July, UTI was repurchasing US-64 units at an arbitrary price set every month. It was not obliged to announce the net asset value, or market value per unit, of the scheme. 

But Friday's move dismayed analysts, who say it would result in burdening the exchequer as a higher number of units will now come under the guaranteed return scheme. 

""This move virtually allows guaranteed returns,"" said Dhirendra Kumar, managing director at fund-tracking firm Value Research. ""US-64 will remain a liability on the government as it will continue to fund the deficit."" 

""I think the government is still reluctant to embrace the reality that fund investors should clearly be a part of all gains and losses."" 

The government has decided to reimburse UTI for the around 1.40 billion rupees it spent between August and November on repurchasing US-64 units at the guaranteed price, a finance ministry official said. (US$1 = 48.26 Indian rupees). 
 
"	1	2	1	2	0	0			1	2
490	India	2004	9	Political	"NEW DELHI, Aug 10 (Reuters) - The Indian cabinet recommended on Tuesday the scrapping of a controversial anti-terrorism law that critics said could be used to settle political scores. 

The Prevention Of Terrorism Act (POTA) has been dogged by controversy since the previous government led by the Bharatiya Janata Party passed it two years ago following complaints that it was being used in cases not warranting its use. 
 
TD 
 The Congress party, which heads the ruling United Progressive Alliance that came to power earlier this year, had promised to repeal the law in its election agenda. 

""The cabinet took a major decision today. It is to repeal POTA as per the promise made in the national Common Minimum Programme of the United Progressive Alliance,"" Information and Broadcasting Minister Jaipal Reddy told reporters. 

The act will now go to parliament to be repealed. 

POTA sets strict new rules for arrest, interrogation and investigation and allows suspects to be detained for 30 days without producing them before a court. 

The previous government had said it needed the law to fight insurgents in Jammu and Kashmir and revolts in the northeast. 

But human rights groups raised fears it might be used to harass minorities or target government opponents. 

Last year, the BJP government ordered a review of the tough law, saying a review committee would focus on ensuring POTA was used only for fighting terrorism and not ordinary criminals.
 
"	1	2	1	2	0	0			1	2
239	India	2003	30	Political	"NEW DELHI, Aug 20 (Reuters) - India's Bharatiya Janata Party-led coalition easily defeated a no confidence vote moved by the opposition, as widely expected. 

The government won the vote, sponsored by the main opposition Congress party which accused the coalition of incompetence, 312 votes to 186 after a two-day debate that ended late on Tuesday. 
 
TD 
 Prime Minister Atal Behari Vajpayee's coalition of two-dozen parties was never really in danger because it has 323 of the 545 seats in the lower house of parliament. 

""We have been elected by the people and will remain in power as long as the people want us to,"" Vajpayee told parliament. 

Opposition parties had said they knew the vote could not oust Vajpayee's 46-month-old government, but they aimed to highlight the government's failures. 

Analysts said the political grandstanding was an effort by the opposition to embarrass the BJP and set the stage for fierce contests in key state elections this year. 
 
"	1	4	1	3	0	1			1	3.5
391	India	1992	33	Political	"NEW DELHI, Aug 18, Reuter - India's parliament on Tuesday approved a resolution extending federal rule in the troubled state of Jammu and Kashmir for a further six months. 

Home Minister Shankarrao Chavan said in the Rajya Sabha (upper house) that elections would be held in the Himalayan state if the situation improved by then. 
 
TD 
 The Lok Sabha, or lower house, last Wednesday passed the resolution extending New Delhi's direct rule over the state for another six months from September 3. 

Kashmir has been under New Delhi's direct rule since January 1990 when separatist militants stepped up a campaign for independence. More than 7,000 people have been killed since then. 

India accuses Pakistan of arming and training Kashmiri militants, a charge Islamabad denies. 

India and Pakistan have fought three wars since both became independent of Britain in 1947, two of them over Kashmir -- which is now split between them with India controlling two-thirds and Pakistan holding the rest.
 
"	1	3	1	2	0	1			1	2.5
422	India	1991	34	Political	"NEW DELHI, Aug 14, Reuter - Pressure is mounting on Sonia Gandhi to step on to India's political stage, but the widow of assassinated former premier Rajiv Gandhi is keeping the country guessing. 

Her public silence has plunged India into an orgy of speculation over whether she is about to launch her own political career and what impact that might have. 
 
TD 
 She speaks rarely to journalists and those who have been in contact with her have different impressions of what she will do. 

Some say Italian-born Gandhi, 44, has decided to run for Amethi, the parliamentary constituency her late husband won posthumously after his assassination on May 21. 

Politicians also have different ideas about her intentions. ""She will go to Amethi on August 20 and announce she's going to run,"" said one senior member of the Congress party, which the Nehru dynasty ran for decades until Rajiv Gandhi's assassination by a woman suicide bomber. He would have been 47 on August 20. 

""It's still a little uncertain, but if she does decide to run, it won't be as early as that,"" said another senior Congress member who was close to Rajiv Gandhi. 

""She hasn't made up her mind and my impression is that she will decide against it,"" a long-time family friend said. 

No one doubts Gandhi would win Amethi in the critically important northern state of Uttar Pradesh, where Congress was almost wiped out in the elections that put it back in power as a minority government in June. 

The pressure is enormous on her to run there. She campaigned hard for her husband in Amethi and Congress leaders said after his death they would accept no other candidate but her in the by-election, for which no date has been set. 

Each day hundreds go to Gandhi's heavily guarded New Delhi home to pay their respects. 

Some urge her to take up politics so she can continue the line of prime ministers of independent India that began with Jawaharlal Nehru and was maintained with his daughter Indira Gandhi and grandson Rajiv Gandhi. 

A vociferous minority in Congress organises delegations to urge her to run for parliament, promising support for a challenge to the leadership of Prime Minister Narasimha Rao. 

Some are genuine believers in continuing the dynasty. Others, say their enemies in Congress, seek to use the magic of the Gandhi name to enhance or preserve their careers. 

Sonia Gandhi is torn, friends say. 

""She doesn't want to get into power politics but she wants to keep Amethi to keep the option (of entering politics) open for the children,"" one said. 

Neither her son Rahul, 21, nor daughter Priyanka, 19, have said whether they intend to enter politics. 

Priyanka's calm and poise at her father's funeral -- and her physical resemblance to Indira Gandhi -- aroused speculation she will. 

In India, a parliamentary candidate must be 25, adding to pressure on Sonia Gandhi to keep the seat open for Priyanka. 

If she does decide to run in Amethi and enters parliament, there seems to be no way she can avoid becoming embroiled in the eternal Congress power struggles. The Nehru dynasty managed to stay on top by undermining anyone who appeared a likely challenger. 

""She would be a very destructive influence because she will become an alternate power centre in the party and erode Narasimha Rao's already delicate position,"" said independent analyst and veteran Congress watcher S. Nihal Singh. 

""Anyone unhappy with Narasimha Rao would gravitate to her side,"" he said. 

Apart from those committed to the Gandhi family, there are others unhappy with Rao as he steers India through radical economic reforms. 

They grumble that Rao is throwing overboard the revered Nehru's doctrines by opening the protected economy to the outside world and abolishing bureaucratic regulations. 

""Sonia's presence in parliament could split Congress,"" Singh said. 

Some senior Congress members agree. ""It might precipitate what so many have speculated about for so long, a realignment of politics with a split in Congress and the larger part merging with other centrist forces,"" one said. 

Others disagree. 

""The assumption that she's going to have an easy ride within the party is not true,"" said another. ""A lot of MPs don't like the idea of her in parliament and those trying to sell her as a future prime minister have put a lot of backs up."" 
 
"	5	3	5	4	0	1			5	3.5
414	India	2003	52	Political	"NEW DELHI, May 30 (Reuters) - India said on Friday it had deployed nearly 10,000 extra troops to hunt down Muslim rebels hiding in the upper reaches of Kashmir and begun fencing the rugged frontier to stop rebel incursions from Pakistan. 

The reinforcements were being sent to the towering Pir Panjal range inside Indian Kashmir where a large mountain base of guerrillas was destroyed last month. 
 
TD 
 More than 60 rebels were killed in that operation, but officials said there could have been up to 350 militants hiding in a network of mountaintop bunkers. 

""We are deploying eight to 10 battalions of additional troops in that area,"" an Indian army official told Reuters. Each battalion is nearly 1,000 troops. The army does not give details of total numbers of troops deployed to crush the 13-year revolt in Kashmir. 

Indian army engineers have started the first phase of fencing 275 km (170 mile) of the 740-km (460-mile) Line of Control which divides Kashmir between the Indian and Pakistani armies to stop movement of rebels, the official said. Electronic sensors had also been deployed in some places.
 
"	1	1	1	1	0	0			1	1
302	India	1999	58	Corporate	"NEW DELHI, Dec 17 (Reuters) - Outdated laws and delayed policy decisions are hurting India's port privatisation programme, officials and industry representatives said on Friday. 

""A complete restructuring of the Indian Ports Act, 1908, is required to get things moving in the sector,"" P.N. Roy Chowdhury, vice chairman of Gujarat Maritime Board, told a seminar on infrastructure. 
 
TD 
 A senior industry representative said the pace of reforms in the port sector had to be accelerated to meet increasing traffic. 

""...the pace has to be accelerated by way of positive investor friendly port policy initiatives,"" said Nikhil Gandhi, Chairman of Seaking Infrastructure Ltd. 

According to Indian Ports Association, 180 million tonnes of goods were handled by Indian ports in the April-November period. In 1998/99 (April-March) the traffic was 252 million tonnes. 

Gandhi called for corporatisation of all major ports. 

""This will facilitate both qualitative and quantitative improvements in existing major port infrastructure rendering them more efficient, effective and competitive...."" 

India has 11 major ports and allowed private investment in the sector in 1995. 

But only two private sector ports in Pipapav and Adani, both in western state of Gujarat, are operational. P&O of Australia operates a container terminal at Jawaharlal Nehru Port Trust in Bombay. 

Gandhi also said labour reforms were important in the sector. 

""Ports should have the freedom to buy out by golden handshake redundant labour...."" ((Surojit Gupta, New Delhi newsroom +91 (11) 301-2024 Fax +91 (11) 301-4043, surojit.gupta@reuters.com)). 

 
"	1	3	1	3	0	0			1	3
214	India	1993	59	Corporate	"NEW DELHI, Dec 7 (Reuter) - Finance Minister Manmohan Singh told domestic and foreign automobile makers on Tuesday that India is ready to face the challenge of global competition. 

""India accepts the challenge of a global market and is determined to change for the better,"" Singh said at the inauguration of India's largest automobile fair, AutoExpo 93. 
 
TD 
 ""AutoExpo is a symbol of our nation's potential and promise,"" he said, adding that Indian entrepreneurs should shed feelings of inferiority to take on global industrial giants. 

Vinod Doshi, president of the Association of Indian Automobile Manufacturers (AIAM), said India's automobile industry had developed ""the technological capability through technology absorption and in-house research and development to launch new vehicles"". 

The automobile fair, the first in seven years, is being seen by industry leaders as a global launching pad for domestic manufacturers. 

The fair has attracted 600 Indian and foreign companies, including some of the largest in the business like BMW, Daimler-Benz and Peugeot. 

The Indian industry is slowly emerging from a recession lasting 2-1/2 years. Car sales rose 18 percent in the first seven months of 1993/94 (April/March) over the same period last year. 

""India produced two million vehicles (of all kinds) in 1992/93 and this number is expected to increase to 3.5 million this year,"" Doshi said. 

Vehicle exports from India have shot up by 82 percent in the past two years. In the first seven months of 1993/94 (April/March), India exported over 60,000 vehicles, up from 39,000 in the same period in 1992/93 and 33,000 in 1991/92. 

The AIAM has estimated that India is likely to export nearly 120,000 vehicles in 1993/94. 
"	1	5	1	5	0	0			1	5
298	India	1993	61	Political	"NEW DELHI, Aug 16 (Reuter) - India on Monday cautioned the chief minister of its southern Tamil Nadu state against her implied threat to secede over a river water dispute, saying New Delhi would act firmly to stop such a move. 

Ruling Congress party members of the upper house of parliament demanded action over an angry statement from Tamil Nadu Chief Minister Jayaram Jayalalitha over a dispute on sharing river water with neighbouring Karnataka state. 
 
TD 
 In an Independence Day statement on Sunday, Jayalalitha demanded ""justice"" from New Delhi and water from the Cauvery river. 

""New Delhi's river water policy will endanger India's unity,"" she said in her latest blast in the long-running dispute with Karnataka, which she said the government had failed to resolve. 

""Nobody who really believes in safeguarding our hard-earned freedom would weaken our sense of national unity this way,"" she added. 

""This is a threat to secede and the government must respond forcefully,"" ruling Congress party deputy Jayanthi Natarajan told the upper house in an angry response on Monday. 

Home (Interior) Minister Shankarrao Chavan said he would try to solve the water dispute, but added : ""This does not allow (Jayalalitha) to make this kind of threat."" 

""We will investigate what she actually said and take all the necessary action accordingly,"" Chavan said. 

Jayalalitha last month suspended a threatened indefinite fast over the ancient water war after a government minister assured her a prompt resolution of the issue. 

Jayalalitha's All India Dravida Munnetra Kazhagama (AIDMK) party followed up her protest by voting against Prime Minister P.V. Narasimha Rao in a no-confidence motion last month. 

Rao survived the motion narrowly, but his Congress party colleagues have been calling for Jayalalitha's dismissal since then, accusing her of corruption. 

The AIDMK's 11 members in parliament had traditionally voted for Rao. 

But the government's failure to help Tamil Nadu get more water from Karnataka, a state ruled by Rao's Congress party, has antagonised his former allies. 

Jayalalitha is a former movie heroine whom Tamils usually greet by throwing themselves flat at her feet. 

Karnataka complains its farmers have been robbed of Cauvery water since at least 1924 when India's British rulers drew up a plan meant to settle the dispute, then already decades old. 

Jayalalitha says the annual monsoon rains, lashing much of northern India and causing floods in several states, had eluded her drought-prone region, forcing her to press for more river water from Karnataka. 

 
"	4	4	4	3	0	1			4	3.5
218	India	2000	71	Political	"NEW DELHI, Aug 8 (Reuters) - India lashed out at Pakistan on Tuesday, blaming its arch-foe for derailing a peace initiative in the bitterly disputed Himalayan territory of Kashmir. 

""The sabotage of the peace process by Pakistan clearly shows its callous disregard for the welfare of the people of Jammu and Kashmir,"" the government said in a statement after a pro-Pakistan militant group, Hizbul Mujahideen, called off a unilateral ceasefire. 
 
TD 
 The government said Pakistani agencies had put intense pressure on the leadership of Hizbul Mujahideen to end the three-month truce, and had also put pressure on other militant groups to continue and intensify their acts of violence. 

It said this was what led to a spate of guerrilla attacks across India's only Moslem-majority state last week in which 95 people, mostly Hindu pilgrims and labourers, were killed in the space of a single night. 

India and Pakistan, both nuclear-capable states, have gone to war three times - twice over Kashmir - since 1947. India accuses its neighbour of sponsoring the decade-old bloody rebellion in Jammu and Kashmir, but Pakistan says it provides only moral and diplomatic support to the separatist movement. 
 
"	1	2	1	2	0	0			1	2
459	India	1998	78	Corporate	"NEW DELHI, Dec 10 (Reuters) - BankAmerica Corp will sell its retail banking business in India but remains committed to its wholesale banking business in the country, a senior bank official said on Thursday. 

""The bank will continue its wholesale banking business in India,"" Josephine Heindel, Senior Vice-President and Marketing Manager for Asia Retail Banking told Reuters by telephone from Hong Kong. 
 
TD 
 Heindel said BankAmerica employed 360 people in its retail business in India. 

""We would certainly hope that in selling our retail banking business in India the purchaser might offer employment opportunities to many of our current employees,"" she said. 

Heindel said BankAmerica currently employed a total of 750 people in four branches in India. All branches handled both retail and wholesale business. 

""We expect keen interest (from potential purchasers) because this is a very good, very well-run business. It is making money,"" she said. 

""Throughout the sale process our emphasis is on taking care of our customers and taking care of our employees. We have a very good team of people in our retail bank in India. They have done a superb job of building this business over the past four years."" 

During the transition period, Heindel said, BankAmerica's retail banking in India would operate on a ""business-as-usual"" basis. ""The branches are open and our people are there to service our customers with the same high quality of service that they expect and deserve from us."" 

""We will handle the sale process as promptly and as smoothly as possible,"" Heindel said. 

She said the decision to sell the India retail banking business was a ""corporate strategy decision"". 

""It is not a reflection of the strength of our business in India. It is not a reflection of our commitment to the market or our assessment of the market."" 

She said BankAmerica had been in wholesale banking in India for over 30 years. ""We are very proud that we were judged the best foreign bank in wholesale banking (in India) last year,"" she said. 

 
"	4	1	4	1	0	0			4	1
431	India	2005	79	Corporate	"NEW DELHI, Nov 10 (Reuters) - India has cut the entry fee for national long-distance telecom services to 25 million rupees ($545,100) from one billion rupees to reduce costs and facilitate growth in the sector, Telecoms Minister Dayanidhi Maran said. 
 
TD 
 Maran said on Thursday the entry fee for international long-distance services had also been cut to 25 million rupees from 250 million rupees. 

He said the annual licence fee for both services had been reduced to six percent of annual gross revenue from 15 percent. 

The new regime comes into effect from Jan. 1, 2006. 

""Our idea is to encourage more players in the field. The tariff will definitely reduce,"" Maran told reporters. 

At the moment, India enjoys some of the cheapest local call rates but tariffs on overseas calls and domestic long-distance calls are high because of higher start-up costs for operators. 

Maran said he expected more players, some of them foreign, to enter the booming telecoms market. 

""I expect, by next year, the number of players will triple and I will not be surprised if it quadruples."" 

At the moment, India has three integrated carriers who offer national long-distance services. They are state-run Bharat Sanchar Nigam Ltd., Reliance Infocomm Ltd. and Bharti Tele-Ventures Ltd. . 

Maran said he expected international bandwidth prices to come down because of the Thursday's announcement, which will further boost India's booming backoffice industry. ($1 = 45.86 rupees) 
 
"	1	5	1	4	0	1			1	4.5
292	India	1992	82	Corporate	"NEW DELHI, May 18, Reuter - A suspended broker who was at the centre of a securities scam that recently rocked Indian stock markets, denied he had violated any law in his deals, the Press Trust of India (PTI) said. 

PTI quoted a letter by Harshad Mehta to an investigating agency probing his deals saying he did not violate the law. 
 
TD 
 ""All our transactions have been in accordance with prevailing practice - a practice which is by no means secret or clandestine,"" PTI quoted the letter addressed to the Central Bureau of Investigation (CBI). 

Soon after the government ordered a CBI probe into Mehta's deals after the scandal broke in April, the Reserve Bank of India (RBI), the central bank, started an investigation into securities deals of 17 Indian and four foriegn banks. 

Mehta has been suspended from the Bombay stock exchange. 

He said the investigation would provide him an opportunity to exonorate himself. 

""Investigating officers will find full cooperation from me in unearthing the truth,"" PTI quoted Mehta as saying. 

Mehta said the adverse publicity would damage his image and impair the value of his assets. 
 
"	1	4	1	4	0	0			1	4
178	India	2007	84	Corporate	"NEW DELHI, Nov 19 (Reuters) - Britain will support India's bid for the 2020 Olympic Games, London mayor Ken Livingstone told a conference on Monday. 

Livingstone, Sebastian Coe, head of 2012 London Olympic Games body, and Chelsea football club's chief executive Peter Kenyon are part of a high-powered delegation in the country aimed at developing cultural, business and sporting links between London and India. 
 
TD 
 Indian Olympic association president Suresh Kalmadi announced in April his intention to start work on the bid for the 2020 Olympics after staging the 2010 Commonwealth Games. 

The effort to host world class sporting events would enhance the opportunity for Delhi and London to develop a relationship and strengthen social, cultural and economical bonding, Livingstone told the conference, according to a statement released by the organisers. 

Olympian Coe said the challenge for a city was to avail all possible amenities for the Games and leave a lasting legacy for years to come. 

Hosting a mega-sporting event was an opportunity for a city to feature in the world map and create role models, he added. (Writing by Sanjay Rajan in Mumbai; Editing by John O'Brien) 
 
"	1	3	1	3	0	0			1	3
406	India	1992	88	Corporate	"NEW DELHI, May 7, Reuter - India will not further reduce duty on gold imports or accelerate plans to make the rupee fully convertible, Finance Minister Manmohan Singh said. 

""Now (gold) duty is such that it will lower smugglers' margins, taking into account the risk involved in smuggling,"" Singh said in an interview. 
 
TD 
 Singh relaxed a ban on gold imports in his 1992/93 budget (April/March), allowing Indians who stay abroad for six months to bring back up to five kilos of gold. When it appeared Indians were not taking advantage of the offer because of the high duty, Singh slashed it to 220 rupees per 10 grams from 450 rupees. 

""Ultimately, we should move toward a system where only tariffs and exchange controls regulate the flow of exports and imports,"" Singh said. 

He has already begun dismantling exchange controls by making the rupee partly convertible on India's trade account. Exporters can sell 60 pct of the foreign exchange they earn on a new secondary money market. They have to sell the remaining 40 pct to the central bank. 

Some traders in Bombay have speculated that India may make the rupee fully convertibile within a year. 

Singh saw little chance of that. 

""I think the present system should be allowed to work itself out,"" he said. ""We just introduced partial convertibility in March, so I think two months is too short a period to say we're now able to take the next step. 

""But it is our dream to move towards full convetibility."" 
 
"	1	5	1	5	0	0			1	5
